"pops","distance","countsum","orte","norm"
477057.1875,1575.362577,362,"Sofia, Bulgarien",0.000758818878501857
484788.8125,41.9621413875,2055,"Dorsten , Nordrhein-Westfalen<br>Gladbeck , Nordrhein-Westfalen<br>Dinslaken , Nordrhein-Westfalen<br>Bottrop , Nordrhein-Westfalen",0.00423895920659266
485162.40625,451.4151898,303,"Potsdam, Brandenburg",0.000624533137969199
490299.5,4308.610573,241,"Omsk, Russische Föderation",0.000491536295672339
502490.90625,2040.903116,387,"Dnepropetrowsk, Ukraine",0.000770163191386113
504268.1875,869.3159261,807,"Katowice (Kattowitz), Polen<br>Siemianowice Slaskie (Laurahütte), Polen",0.00160033890696307
526122.125,362.6240195,505,"Nürnberg, Bayern",0.000959853189979418
536271,1514.581237,1310,"Skopje, Mazedonien",0.00244279478099692
539877.8125,391.5917323,1243,"Leipzig, Sachsen",0.00230237281699736
542033.125,5176.571027,176,"Almaty (Alma-Ata), Kasachstan",0.000324703402582637
542496.125,58.12953542,2966,"Datteln , Nordrhein-Westfalen<br>Dortmund , Nordrhein-Westfalen<br>Castrop-Rauxel , Nordrhein-Westfalen",0.00546732015827763
542696.875,706.4006417,157,"Poznan (Posen), Polen",0.000289295935230878
575790.1875,47.68248446,1763,"Siegburg , Nordrhein-Westfalen<br>Troisdorf , Nordrhein-Westfalen<br>Bergisch Gladbach , Nordrhein-Westfalen",0.00306187920230926
587912.875,9200.272175,171,"Hyogo, Japan",0.000290859423685865
595188.3125,37.2946117466667,5351,"Brühl , Nordrhein-Westfalen<br>Frechen , Nordrhein-Westfalen<br>Köln , Nordrhein-Westfalen",0.00899043191477319
595851.8125,1753.695223,870,"Leningrad, Russische Föderation<br>St. Petersburg, Russische Föderation",0.00146009457678708
605157.8125,339.8463742,2775,"Hamburg, Hamburg",0.00458558072403634
613514.125,45.093799558,2876,"Hagen, Nordrhein-Westfalen<br>Herdecke , Nordrhein-Westfalen<br>Witten , Nordrhein-Westfalen<br>Gevelsberg , Nordrhein-Westfalen<br>Schwelm , Nordrhein-Westfalen",0.00468774863170428
641931.1875,316.2866818,1210,"Stuttgart, Baden-Württemberg<br>Ludwigsburg, Baden-Württemberg",0.00188493723869741
