"Geburtsland","Geburtsort","Geburtsort_Land","Anzahl","Lat_Bing","Long_Bing","Distanz","pop","norm"
"Rheinland-Pfalz","Andernach ","Andernach , Rheinland-Pfalz",107,50.42610168,7.415299892,98.65650235,29602,0.00361462063374096
"Nordrhein-Westfalen","Ahaus","Ahaus, Nordrhein-Westfalen",194,52.09030151,7.00797987,98.57030971,38509,0.00503778337531486
"Nordrhein-Westfalen","Ahlen","Ahlen, Nordrhein-Westfalen",232,51.74150085,7.889550209,96.96744125,54745,0.0042378299388072
"Nordrhein-Westfalen","Siegen ","Siegen , Nordrhein-Westfalen",950,50.86700058,7.986810207,93.3432644,105697,0.00898795613877404
"Nordrhein-Westfalen","Arnsberg","Arnsberg, Nordrhein-Westfalen",533,51.39440155,8.06210041,91.8597679,75867,0.00702545243650072
"Rheinland-Pfalz","Kirchen (Sieg)","Kirchen (Sieg), Rheinland-Pfalz",144,50.8064003,7.884829998,90.13846802,9063,0.015888778550149
"Nordrhein-Westfalen","Hamm ","Hamm , Nordrhein-Westfalen",907,51.6711998,7.774710178,85.9448106,183672,0.00493815061631604
"Nordrhein-Westfalen","Coesfeld ","Coesfeld , Nordrhein-Westfalen",320,51.9294014,7.165850163,83.83789601,36660,0.00872885979268958
"Nordrhein-Westfalen","Borken ","Borken , Nordrhein-Westfalen",275,51.95780182,6.922500134,83.14288894,41088,0.00669295171339564
"Nordrhein-Westfalen","Wickede Ruhr","Wickede Ruhr, Nordrhein-Westfalen",158,51.49980164,7.850669861,81.24849305,12347,0.0127966307605086
"Nordrhein-Westfalen","Attendorn","Attendorn, Nordrhein-Westfalen",158,51.12440109,7.90060997,79.30358956,24744,0.00638538635628839
"Nordrhein-Westfalen","Lüdinghausen ","Lüdinghausen , Nordrhein-Westfalen",118,51.77690125,7.460309982,78.43773242,24298,0.00485636677915878
"Nordrhein-Westfalen","Werne ","Werne , Nordrhein-Westfalen",146,51.67129898,7.629179955,78.00632661,30477,0.00479049775240345
"Rheinland-Pfalz","Bad Neuenahr-Ahrweiler ","Bad Neuenahr-Ahrweiler , Rheinland-Pfalz",113,50.54500961,7.101709843,77.99793388,27487,0.00411103430712701
"Nordrhein-Westfalen","Olpe ","Olpe , Nordrhein-Westfalen",200,51.02600098,7.847869873,77.94851178,25612,0.00780883960643448
"Nordrhein-Westfalen","Emmerich am Rhein ","Emmerich am Rhein , Nordrhein-Westfalen",396,51.83309937,6.24477005,77.92882522,29662,0.0133504146719709
"Nordrhein-Westfalen","Dülmen ","Dülmen , Nordrhein-Westfalen",149,51.84180069,7.279009819,77.88119383,47432,0.00314133918030022
"Nordrhein-Westfalen","Kleve ","Kleve , Nordrhein-Westfalen",558,51.7820015,6.117949963,77.80663899,49124,0.0113590098526179
"Nordrhein-Westfalen","Plettenberg ","Plettenberg , Nordrhein-Westfalen",107,51.21289825,7.88132,77.22983903,27672,0.00386672448684591
"Nordrhein-Westfalen","Menden (Sauerland)","Menden (Sauerland), Nordrhein-Westfalen",243,51.43830109,7.799039841,75.48083031,57599,0.00421882324345909
"Nordrhein-Westfalen","Kamen ","Kamen , Nordrhein-Westfalen",124,51.59090042,7.661359787,74.40558558,45816,0.00270647808625808
"Nordrhein-Westfalen","Unna ","Unna , Nordrhein-Westfalen",406,51.52619934,7.695569992,72.74889375,67680,0.00599881796690307
"Nordrhein-Westfalen","Hemer ","Hemer , Nordrhein-Westfalen",161,51.38619995,7.778329849,72.42828027,37833,0.00425554410171015
"Nordrhein-Westfalen","Waldbröl ","Waldbröl , Nordrhein-Westfalen",175,50.87680054,7.610429764,69.59008813,19563,0.00894545826304759
"Nordrhein-Westfalen","Rhede ","Rhede , Nordrhein-Westfalen",109,51.83679962,6.703849792,69.24754251,19293,0.00564971751412429
"Nordrhein-Westfalen","Werdohl ","Werdohl , Nordrhein-Westfalen",115,51.25979996,7.757530212,68.72065271,19838,0.00579695533823974
"Nordrhein-Westfalen","Aachen","Aachen, Nordrhein-Westfalen",2082,50.77822876,6.088640213,68.50793002,258770,0.0080457549174943
"Nordrhein-Westfalen","Lünen ","Lünen , Nordrhein-Westfalen",266,51.610421,7.528793,68.33265555,89456,0.00297352888570918
"Nordrhein-Westfalen","Bocholt ","Bocholt , Nordrhein-Westfalen",536,51.81980133,6.609749794,68.16038975,73640,0.00727865290602933
"Nordrhein-Westfalen","Iserlohn ","Iserlohn , Nordrhein-Westfalen",514,51.37630081,7.709980011,67.54665509,96546,0.0053238870590185
"Nordrhein-Westfalen","Goch ","Goch , Nordrhein-Westfalen",366,51.67290115,6.17802,65.67721069,34076,0.0107406972649372
"Nordrhein-Westfalen","Haltern am See ","Haltern am See , Nordrhein-Westfalen",204,51.7419014,7.18693018,65.10534099,37954,0.00537492754386889
"Nordrhein-Westfalen","Datteln ","Datteln , Nordrhein-Westfalen",250,51.6631012,7.34528017,63.57550458,36297,0.00688762156652065
"Nordrhein-Westfalen","Bardenberg","Bardenberg, Nordrhein-Westfalen",315,50.84019852,6.110660076,62.61859053,5873,0.0536352800953516
