Geburtsland,Geburtsort,Geburtsort_Land,Anzahl,Lat_Bing,Long_Bing,Distanz
Nordrhein-Westfalen,Paderborn ,"Paderborn , Nordrhein-Westfalen",888,51.71813965,8.752039909,148.2389978
Nordrhein-Westfalen,Plettenberg ,"Plettenberg , Nordrhein-Westfalen",107,51.21289825,7.88132,77.22983903
Nordrhein-Westfalen,Radevormwald,"Radevormwald, Nordrhein-Westfalen",127,51.19860077,7.348169804,40.02769397
Nordrhein-Westfalen,Ratingen ,"Ratingen , Nordrhein-Westfalen",3736,51.29610062,6.815670013,9.364837819
Nordrhein-Westfalen,Recklinghausen ,"Recklinghausen , Nordrhein-Westfalen",859,51.61949921,7.213409901,54.24094808
Nordrhein-Westfalen,Remscheid ,"Remscheid , Nordrhein-Westfalen",1001,51.18249893,7.212669849,30.74040344
Nordrhein-Westfalen,Rheda-Wiedenbrück ,"Rheda-Wiedenbrück , Nordrhein-Westfalen",232,51.83470917,8.304019928,126.4220181
Nordrhein-Westfalen,Rhede ,"Rhede , Nordrhein-Westfalen",109,51.83679962,6.703849792,69.24754251
Nordrhein-Westfalen,Rheinberg ,"Rheinberg , Nordrhein-Westfalen",179,51.54570007,6.587409973,38.97748078
Nordrhein-Westfalen,Rheine ,"Rheine , Nordrhein-Westfalen",443,52.28419876,7.476709843,128.2899477
Nordrhein-Westfalen,Salzkotten ,"Salzkotten , Nordrhein-Westfalen",128,51.67750168,8.614330292,137.7272492
Nordrhein-Westfalen,Schwelm ,"Schwelm , Nordrhein-Westfalen",405,51.29460144,7.299389839,37.57609963
Nordrhein-Westfalen,Schwerte ,"Schwerte , Nordrhein-Westfalen",193,51.43970108,7.540919781,58.8467101
Nordrhein-Westfalen,Siegburg ,"Siegburg , Nordrhein-Westfalen",257,50.80479813,7.213850021,55.04755385
Nordrhein-Westfalen,Siegen ,"Siegen , Nordrhein-Westfalen",950,50.86700058,7.986810207,93.3432644
Nordrhein-Westfalen,Soest ,"Soest , Nordrhein-Westfalen",388,51.55879974,8.119050026,100.9732666
Nordrhein-Westfalen,Solingen ,"Solingen , Nordrhein-Westfalen",2125,51.16759872,7.085100174,22.25587166
Nordrhein-Westfalen,lohn ,"lohn , Nordrhein-Westfalen",147,50.85710144,6.293499947,52.29114497
Nordrhein-Westfalen,Steinfurt ,"Steinfurt , Nordrhein-Westfalen",249,52.15008926,7.338950157,110.9564639
Nordrhein-Westfalen,Tönisvorst ,"Tönisvorst , Nordrhein-Westfalen",270,51.32062149,6.495359898,22.80349437
Nordrhein-Westfalen,Troisdorf ,"Troisdorf , Nordrhein-Westfalen",301,50.80360031,7.156620026,53.02591311
Nordrhein-Westfalen,Unna ,"Unna , Nordrhein-Westfalen",406,51.52619934,7.695569992,72.74889375
Nordrhein-Westfalen,Velbert ,"Velbert , Nordrhein-Westfalen",1193,51.33150101,7.044730186,22.74938502
Nordrhein-Westfalen,Viersen ,"Viersen , Nordrhein-Westfalen",1243,51.25529861,6.382239819,27.85497268
Nordrhein-Westfalen,Waldbröl ,"Waldbröl , Nordrhein-Westfalen",175,50.87680054,7.610429764,69.59008813
Nordrhein-Westfalen,Warburg,"Warburg, Nordrhein-Westfalen",144,51.48379898,9.132909775,166.8767605
Nordrhein-Westfalen,Warendorf ,"Warendorf , Nordrhein-Westfalen",224,51.94269943,7.981440067,116.2609823
Nordrhein-Westfalen,Warstein ,"Warstein , Nordrhein-Westfalen",141,51.43190002,8.343640327,111.8858699
Nordrhein-Westfalen,Werdohl ,"Werdohl , Nordrhein-Westfalen",115,51.25979996,7.757530212,68.72065271
Nordrhein-Westfalen,Wermelskirchen ,"Wermelskirchen , Nordrhein-Westfalen",196,51.1393013,7.228779793,32.77731491
Nordrhein-Westfalen,Werne ,"Werne , Nordrhein-Westfalen",146,51.67129898,7.629179955,78.00632661
Nordrhein-Westfalen,Wesel ,"Wesel , Nordrhein-Westfalen",951,51.65879822,6.610079765,50.60704023
Nordrhein-Westfalen,Wickede Ruhr,"Wickede Ruhr, Nordrhein-Westfalen",158,51.49980164,7.850669861,81.24849305
Nordrhein-Westfalen,Willich ,"Willich , Nordrhein-Westfalen",467,51.25899887,6.548789978,16.58716416
Nordrhein-Westfalen,Wipperfürth,"Wipperfürth, Nordrhein-Westfalen",179,51.12020111,7.400179863,44.92530901
Nordrhein-Westfalen,Witten ,"Witten , Nordrhein-Westfalen",454,51.43399811,7.344950199,46.49816849
Nordrhein-Westfalen,Wülfrath ,"Wülfrath , Nordrhein-Westfalen",180,51.28430176,7.054289818,20.87372085
Nordrhein-Westfalen,Wuppertal ,"Wuppertal , Nordrhein-Westfalen",4181,51.27154922,7.196559906,30.01549327
Nordrhein-Westfalen,Xanten ,"Xanten , Nordrhein-Westfalen",112,51.65319824,6.451089859,53.64265148
Rheinland-Pfalz,Andernach ,"Andernach , Rheinland-Pfalz",107,50.42610168,7.415299892,98.65650235
Rheinland-Pfalz,Bad Kreuznach ,"Bad Kreuznach , Rheinland-Pfalz",166,49.82559967,7.868330002,172.8465332
Rheinland-Pfalz,Bad Neuenahr-Ahrweiler ,"Bad Neuenahr-Ahrweiler , Rheinland-Pfalz",113,50.54500961,7.101709843,77.99793388
Rheinland-Pfalz,Gerolstein ,"Gerolstein , Rheinland-Pfalz",116,50.21680069,6.661049843,111.3353755
Rheinland-Pfalz,Kaiserslautern ,"Kaiserslautern , Rheinland-Pfalz",166,49.44329834,7.755539894,208.9885983
Rheinland-Pfalz,Kirchen (Sieg),"Kirchen (Sieg), Rheinland-Pfalz",144,50.8064003,7.884829998,90.13846802
